Business Legal Name,City,zipcode,Race or Ethnicity,Gender,Race Adjusted,Ethnicity Adjusted,Top City,Chicago Region,Illinois Region
Suzannesmobilepictureframing,Antioch,60002,Not Listed,Female,Not Listed,,z_Not a Top City,Not Chicago,Chicagoland
Ozawa Creative Company,Arlington Heights,60004,Asian American,Male,Asian American,,Arlington Heights,Not Chicago,Chicagoland
Fire Signs LLC,Arlington Heights,60004,White,Female,White,,Arlington Heights,Not Chicago,Chicagoland
Jeffrey Livorsi,Arlington Heights,60004,White,Male,White,,Arlington Heights,Not Chicago,Chicagoland
Kevin Thomas Sada,Arlington Heights,60004,White,Male,White,,Arlington Heights,Not Chicago,Chicagoland
Mobile Room Escape LLC,Arlington Heights,60004,White,Male,White,,Arlington Heights,Not Chicago,Chicagoland
Arlington School of Music-Nico Anagnostopoulos,Arlington Heights,60005,Multiple Races,Nonbinary,Multiracial,,Arlington Heights,Not Chicago,Chicagoland
Harmony Hospitality LLC,Arlington Heights,60005,White,Male,White,,Arlington Heights,Not Chicago,Chicagoland
Obscura Inc.,Elk Grove Village,60007,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Aedeok Lee,Rolling Meadows,60008,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Chicago Korean Dance Company,Rolling Meadows,60008,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
The DanceXpress Dance Studio Inc,Rolling Meadows,60008,I decline to answer,Female,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
"Chicago Rebels Next Generation Swing Dance Club, Inc.",Barrington,60010,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"SWING DANCE AMERICA, INC",Barrington,60010,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Bataille Academie of the Danse LLC,Barrington,60010,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Chicago Master Singers,Barrington,60011,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Makity Make Inc,Crystal Lake,60012,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Cary-Grove Performing Arts Centre,Cary,60013,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Lake House Media Inc.,Oakwood Hills,60013,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Music Makers...for Life, Inc.",Crystal Lake,60014,I decline to answer,Female,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
"All That Dance, Inc.",Crystal Lake,60014,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"E018 ELGIN CHAPTER, SPEBSQSA, INC.",Crystal Lake,60014,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Fishstone Studio Inc.,Crystal Lake,60014,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Joshua Shapiro,Bannockburn,60015,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Le'Ana Asher Studios LLC,Deerfield,60015,American Indian/Native American or Alaska Native,Female,American Indian/Native American or Alaska Native,,z_Not a Top City,Not Chicago,Chicagoland
CMA NorthShore Inc.,Deerfield,60015,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
MadKap Productions Inc,Deerfield,60015,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Rob Fund Band LLC,Deerfield,60015,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Daniela Bisenius Music,Des Plaines,60016,White,Female,White,,Des Plaines,Not Chicago,Chicagoland
Des Plaines Historical Society,Des Plaines,60016,White,Male,White,,Des Plaines,Not Chicago,Chicagoland
Margaret Vagle,Des Plaines,60016,White,Female,White,,Des Plaines,Not Chicago,Chicagoland
Engage & Resonate LLC,Des Plaines,60018,I decline to answer,Male,I decline to answer,,Des Plaines,Not Chicago,Chicagoland
Andrew Ring,Glencoe,60022,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Opernfest Prague,Glencoe,60022,I decline to answer,Female,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Opernfest Prague,Glencoe,60022,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Writers Theatre, Inc.",Glencoe,60022,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Zerang Broadcasting LLC,Glenview,60025,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
OIL LAMP THEATER NFP,Glenview,60025,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Black Horse Trucking, Inc.",Glenview,60026,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
"Chicago Destiny Band, Inc",Glenview,60026,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
KOHL CHILDREN'S MUSEUM OF GREATER CHICAGO INC,Glenview,60026,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Dragon K Martial Arts.Inc,Grayslake,60030,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Jessie Lu Caples Stamps Development Arts Center,Grayslake,60030,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Close to You, Inc.",Grayslake,60030,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Starline Factory Inc,Harvard,60033,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Gold Coast Events Ltd,Highland Park,60035,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Children's Theatre Co.,Highland Park,60035,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Jovana Savic,Highland Park,60035,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Michael McEachern,Highland Park,60035,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
MICHEAL GOLDFARB,Highland Park,60035,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"North Shore School of Dance, Inc.",Highland Park,60035,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
The Art Center Highland Park,Highland Park,60035,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Vino Events LLC,Highwood,60040,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Midwest Young Artists,Highwood,60040,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Dragon K Martial Arts Lake Bluff.Inc,Lake Bluff,60044,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
"Executive Language Training, LLC",Lake Bluff,60044,Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
International Chamber Artists,Lake Bluff,60044,White American Indian/Native American or Alaska Native,Male,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Art Impact Project NFP,Lake Forest,60045,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
History Center of Lake Forest Lake Bluff,Lake Forest,60045,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Thunderbuck Productions LLC,Lake Forest,60045,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Holly Frederichs Piano Tuning and Repair,Lake Villa,60046,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Maira Ochoa Photography,Lake Villa,60046,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
MindFlix Films,Lake Villa,60046,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Game Night Out LLC,Hawthorn Woods,60047,Hispanic or Latino/a/x White,Male,White,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
"Dance Ed Ventures, Inc.",Libertyville,60048,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
GreatWorks Theatre Company,Libertyville,60048,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Improve Playhouse Theatre, Inc.",Libertyville,60048,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
William T. Overton,Libertyville,60048,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Euphoria Entertainment LLC,Morton Grove,60053,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Brassworks Music,Morton Grove,60053,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Order Of Success LLC,Mount Prospect,60056,Black or African American Asian American,Male,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Empire Productions LLC,Mount Prospect,60056,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Joseph G Sonnefeldt,Mount Prospect,60056,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
peter patterson glassworks,Mundelein,60060,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Cagen Music LLC,Northbrook,60062,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Cagen Music LLC,Northbrook,60062,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Enhance Productions (2020), Enhance Productions LLC (2021)",Northbrook,60062,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Jessica A Deahr,Northbrook,60062,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Mentz LLC,Northbrook,60062,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"That's Entertainment Performing Arts, LLC",Palatine,60067,White,Female,White,,Palatine,Not Chicago,Chicagoland
"Pickwick Theatre, Inc",Park Ridge,60068,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Amy Stricker,Prospect Heights,60070,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Smartistry,Round Lake,60073,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
The Sizzle Kitchen LLC,Palatine,60074,White,Male,White,,Palatine,Not Chicago,Chicagoland
Wink Productions,Palatine,60074,White,Female,White,,Palatine,Not Chicago,Chicagoland
Xinming Guo,Skokie,60076,Asian American,Male,Asian American,,Skokie,Not Chicago,Chicagoland
Art Dept.,Skokie,60076,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,Skokie,Not Chicago,Chicagoland
